result,table,_start,_stop,_time,ApicController_IP,_measurement,total_PIn,total_POut
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.144.77,DevicePSU,105257.0,103058.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.144.77,DevicePSU,118744.0,108180.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.144.77,DevicePSU,277142.0,245044.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.160.76,DevicePSU,106161.0,104529.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.160.76,DevicePSU,123751.0,112321.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.160.76,DevicePSU,277153.0,244386.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.160.75,DevicePSU,106009.0,104716.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.160.75,DevicePSU,123134.0,112001.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.160.75,DevicePSU,276835.0,245005.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.160.70,DevicePSU,102554.0,100646.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.160.70,DevicePSU,122947.0,112155.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.160.70,DevicePSU,277066.0,244567.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.144.81,DevicePSU,97538.0,96328.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.144.81,DevicePSU,118455.0,108313.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.144.81,DevicePSU,277421.0,244795.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.16.67,DevicePSU,97671.0,96575.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.16.67,DevicePSU,118875.0,108123.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.16.67,DevicePSU,277420.0,244748.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.16.69,DevicePSU,97634.0,96611.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.16.69,DevicePSU,118145.0,107995.0
